hindi,phon
पढ़ाना,p a rrh aa n aa
पतंगपतंग,
पतंगा,p a t a ng g aa
पतझड़,p a t jh a rr
पतन,p a t a n
पतला,p a t l aa
पतलून,p a t l uu n
पता,p a t aa
पति,p a t i
पतित,p a t i t
पतिव्रता,p a t i v r a t aa
पतीला,p a t ii l a
पत्तल,p a t t a l
पत्ता,p a t t aa
पत्ती,p a t t ii
पत्थर,p a t th a r
पत्नी,p a t n ii
पत्र,p a t r a
पत्रक,p a t r a k
पत्रकार,p a t r a k aa r
पत्र-व्यवहार,p a t r a v y a v h aa r
पत्राचार,p a t r aa c aa r
पत्रिका,p a t r i k aa
पत्रोत्तर,p a t r o t t a r
पथ,p a th
पथराना,p a th r aa n aa
पथराव,p a th r aa v
पथरी,p a th r ii
पथरीला,p a th r ii l aa
पद,p a d
पदक,p a d a k
पदनाम,p a d n aa m
पदभार,p a d bh aa r
पदवी,p a d v ii
पदाधिकारी,p a d aa dh i k aa r ii
पदार्थ,p a d aa r th a
पद्धति,p a d dh a t i
पधारना,p a dh aa r n aa
-पन,p a n
पन-,p a n 
पनपना,p a n a p n aa
पनबिजली,p a n b i j l ii
पनवाड़ी,p a n v aa rr ii
पनसारी,p a n s aa r ii
पनीर,p a n ii r
पन्ना,p a n n aa
पपड़ी,p a p rr ii
पपीता,p a p ii t aa
पपीहा,p a p ii h aa
पब्लिक,p a b l i k
परंतु,p a r a n t u
परंपरा,p a r a m a p a r aa
पर-,p a r 
पर,p a r
पर,p a r
पर,p a r
परख,p a r a kh
परखना,p a r a kh n aa
परचा,p a r c aa
परचून,p a r c uu n
परचूनिया,p a r c uu n i y aa
परतंत्र,p a r t a n t r a
परतंत्रता,p a r t a n t r a t aa
परत,p a r a t
परतदार,p a r a t d aa r
परती,p a r t ii
परदा,p a r d aa
परदादा,p a r d aa d aa
परदैश,p a r d e sh
परदेशी,p a r d e sh ii
परनाना,p a r n aa n aa
परनाला,p a r n aa l aa
परम,p a r a m
परमात्मा,p a r a m aa t m aa
परमिट,p a r m i tt
परमेश्वर,p a r m e sh v a r
परला,p a r l aa
परलोक,p a r l o k
परवर्ती,p a r v a r t ii
परवल,p a r v a l
परवश,p a r v a sh
परवाना,p a r v aa n aa
परवाह,p a r v aa h
परसना,p a r a s n aa
परस्वर,p a r a s p a r
परहेज़,p a r h e z
पराकाष्ठा,p a r aa k aa sh tth aa
पराक्रम,p a r aa k r a m
पराक्रमी,p a r aa k r a m ii
पराजय,p a r aa j a y
पराजित,p a r aa j i t
पराठा,p a r aa tth aa
परात,p a r aa t
पराधीन,p a r aa dh ii n
पराधीनता,p a r aa dh ii n t aa
परामर्श,p a r aa m a r sh a
पराया,p a r aa y aa
परिचय,p a r i c a y
परिचय-पत्र,p a r i c a y p a t r a
परिचर्या,p a r i c a r y aa
परिचारिका,p a r i c aa r i k aa
परिचित,p a r i c i t
परिणाम,p a r i n aa m
परिणाम-स्वरूप,p a r i n aa m s v a r uu p
परित्यक्त,p a r i t y a k t a
परित्याग,p a r i t y aa g a
परिपक्व,p a r i p a k v a
परिपक्वता,p a r i p a k v a t aa
परिपाटी,p a r i p aa tt ii
परिपूर्ण,p a r i p uu r n a
परिभाषा,p a r i bh aa sh aa
परिमाण,p a r i m aa n
परिमार्जित,p a r i m aa r j i t
परिवर्तन,p a r i v a r t a n
परिवर्तनशील,p a r i v a r t a n sh ii l
परिवर्तित,p a r i v a r t i t
परिवर्द्धन,p a r i v a r d dh a n
परिवर्द्धित,p a r i v a r d dh i t
परिवहन,p a r i v a h a n
परिवार,p a r i v aa r
परिशिष्ट,p a r i sh i sh tt a
परिश्रम,p a r i sh r a m
परिश्रमी,p a r i sh r a m ii
परिषद्,p a r i sh a d
परिष्कार,p a r i sh k aa r
परिष्कृत,p a r i sh k r i t
परिस्थिति,p a r i s th i t i
परी,p a r ii
परीक्षक,p a r ii k sh a k
परीक्षण,p a r ii k sh a n
परीक्ष,p a r ii k sh aa
परीक्षार्थी,p a r ii k sh aa r th i
परे,p a r e
परेड,p a r e dd
परेशान,p a r e sh aa n
परेशानी,p a r e sh aa n ii
परोक्ष,p a r o k sh a
परोपकार,p a r o p k aa r
परोपकारी,p a r o p k aa r ii
परोसना,p a r o s n aa
पर्चा,p a r c aa
पर्दा,p a r d aa
पर्यटक,p a r y a tt a k
पर्यटन,p a r y a tt a n
पर्याप्त,p a r y aa p t a
पर्व,p a r v a
पर्वत,p a r v a t
पलँग,p a l a ~ g
पलँगपोश,p a l a ~ g p o sh
पल,p a l
पलक,p a l a k
पलटन,p a l tt a n
पलटना,p a l a tt n aa
पलटा,p a l tt aa
पलड़ा,p a l rr aa
पलथी,p a l th ii
पलना,p a l n aa
पलस्तर,p a l a s t a r
पल्ला,p a l l aa
पवन,p a v a n
पवित्र,p a v i t r a
पवित्रता,p a v i t r a t aa
पशु,p a sh u
पशुपालन,p a sh u p aa l a n
पशुशाला,p a sh u sh aa l aa
पश्चात्,p a sh c aa t
पश्चाताप,p a sh c aa t t aa p
पश्चिम,p a sh c i m
पश्चिमी,p a sh c i m ii
पसंद,p a s a n d
पसली,p a s l i
पसारना,p a s aa r n aa
पसीना,p a s ii n aa
पहचान,p a h c aa n
पहचानना,p a h c aa n n aa
पहनना,p a h a n n aa
पहनाना,p a h n aa n aa
पहनावा,p a h n aa v aa
पहर,p a h a r
पहरा,p a h r aa
पहरावा,p a h r aa v aa
पहरेदार,p a h r e d aa r
पहरेदारी,p a h r e d aa r ii
पहल,p a h a l
पहलक़दमी,p a h a l q a d m ii
पहलवान,p a h a l v aa n
पहलवानी,p a h a l v aa n ii
पहला,p a h l aa
पहलू,p a h l uu
पहले,p a h l e
पहले-पहल,p a h l e p a h a l
पहाड़,p a h aa rr
पहाड़ा,p a h aa rr aa
पहाड़ी,p a h aa rr ii
पहिया,p a h i y aa
पहुँच,p a h u ~ c
पहुँचना,p a h u ~ c n aa
पहुँचाना,p a h u ~ c aa n aa
पहुँची,p a h u ~ c ii
पहेली,p a h e l ii
-पा,p aa
पाइंट,p aa i n tt
पाइप,p aa i p
पाइलट,p aa i l a tt
पाई,p E
पाई,p E
पाउडर,p aa u dd a r
पाकेट,p aa k e tt
पाक्षिक,p aa k sh i k
पाखंड,p aa kh a n dd
पाखंडपूर्ण,p aa kh a n dd p uu r n a
पाखंडी,p aa kh a n dd ii
पाख़ाना,p aa x aa n aa
पागल,p aa g a l
पागलख़ाना,p aa g a l x aa n aa
पागलपन,p aa g a l p a n
पाचक,p aa c a k
पाचन,p aa c a n
पाजामा,p aa j aa m aa
पाजी,p aa j ii
पाजीपन,p aa j ii p a n
पाट,p aa tt
पाटना,p aa tt n aa
पाठ,p aa tth
पाठक,p aa tth a k
पाठशाला,p aa tth sh aa l aa
पाठ्यक्रम,p aa tth y a k r a m
पाठ्यपुस्तक,p aa tth y a p u s t a k
पाताल,p aa t aa l
पात्र,p aa t r a
पात्रता,p aa t r a t aa
पादरी,p aa d r ii
पान,p aa n
पान,p aa n
पानदान,p aa n d aa n
पाना,p aa n aa
पानी,p aa n ii
पानेवाला,p aa n e v aa l aa
पाप,p aa p
पापड़,p aa p a rr
पापा,p aa p aa
पापी,p aa p ii
पाबंद,p aa b a n d
पाबंदी,p aa b a n d ii
पायदान,p aa y d aa n
पायदार,p aa y d aa r
पायदारी,p aa y d aa r ii
पाया,p aa y aa
पारंपरिक,p aa r a m p a r i k
पार,p aa r
पारखी,p aa r kh ii
पारस,p aa r a s
पारस्परिक,p aa r a s p a r i k
पारा,p aa r aa
पारितोषिक,p aa r i t o sh i k
पारिभाषिक,p aa r i bh aa sh i k
पारिवारिक,p aa r i v aa r i k
पारी,p aa r ii
पार्क,p aa r k
पार्ट,p aa r tt
पार्टी,p aa r tt ii
पार्टी,p aa r tt ii
पार्लमेंट,p aa l a m e n tt
पार्सल,p aa r s a l
पाल,p aa l
-पाल,p aa l
पालक,p aa l a k
पालक,p aa l a k
पालकी,p aa l k ii
पालतू,p aa l t uu
पालथी,p aa l th ii
पालन,p aa l a n
पालन-पोषन,p aa l a n p o sh a n
पालना,p aa l n a
पालना,p aa l n aa
पाला,p aa l aa
पाला,p aa l aa
पालिश,p aa l i sh
पालिशदार,p aa l i sh d aa r
पालिसी,p aa l i s ii
पाव,p aa v
पाव,p aa v
पास,p aa s
पास,p aa s
पास,p aa s
पास-पड़ोस,p aa s p a rr o s
पास-पास,p aa s p aa s
पासपोर्ट,p aa s p o r tt
पास-बुक,p aa s b u k
पिंजरा,p i n j r aa
पिंड,p i n dd
पिंडली,p i n dd l ii
पिकनिक,p i k n i k
पिघलना,p i gh a l n aa
पिघलनाना,p i gh l aa n aa
पिचकना,p i c a k n aa
पिचकारी,p i c k aa r ii
पिछड़ना,p i ch a rr n aa
पिछड़ा,p i ch rr aa
पिछड़ापन,p i ch rr aa p a n
पिछलग्गू,p i ch l a g g uu
पिछला,p i ch l aa
पिछवाड़ा,p i ch v aa rr aa
पिछाड़ी,p i ch aa rr ii
पिटना,p i tt n aa
पिटवाना,p i tt v aa n aa
पिटाई,p i tt E
पिटारा,p i tt aa r aa
पिता,p i t aa
पिन,p i n
पियक्कड़,p i y a k k a rr
पिरोना,p i r o n aa
पिलपिला,p i l p i l aa
पिलाना,p i l aa n aa
पिल्ला,p i l l aa
पिसाई,p i s E
पिसाना,p i s aa n aa
पिस्ता,p i s t aa
पिस्तौल,p i s t O l
पिस्सू,p i s s uu
पीक,p ii k
पीकदान,p ii k d aa n
पीछा,p ii ch aa
पीछे,p ii ch e
पीछे-पीछे,p ii ch e p ii ch e
पीटना,p ii tt n aa
पीठ,p ii tth
पीड़ा,p ii rr aa
पीड़ित,p ii rr i t
पीढ़ा,p ii rrh aa
पीढ़ी,p ii rrh ii
पीतल,p ii t a l
पीना,p ii n aa
पीप,p ii p
पीपल,p ii p a l
पीपा,p ii p aa
पीला,p ii l aa
पीलापन,p ii l aa p a n
पीलिया,p ii l i y aa
पीसना,p ii s n aa
पीहर,p ii h a r
पुआल,p u aa l
पुकार,p u k aa r
पुकारना,p u k aa r n aa
पुखराज,p u kh r aa j
पुख़्ता,p u x t aa
पुचकारना,p u c k aa r n aa
पुच्छल,p u c ch a l
पुछल्ला,p u ch a l l aa
पुजारी,p u j aa r ii
पुटीन,p u tt ii n
पुट्ठा,p u tt tth aa
पुड़ा,p u rr aa
पुड़िया,p u rr i y aa
पुष्य,p u n y a
पुतला,p u t l aa
पुतली,p u t l ii
पुताई,p u t E
पुत्र,p u t r a
पुत्री,p u t r ii
पुदीना,p u d ii n aa
पुनः,p u n a h
पुनःस्थापना,p u n a h s th aa p n aa
पुनरावृत्ति,p u n a r aa v r i t t i
पुनरुज्जीवित,p u n a r u j j ii v i t
पुनरुद्धार,p u n a r u d dh aa r
पुनर्गठित,p u n a r g a tth i t
पुनर्जन्म,p u n a r j a n m a
पुनर्जागरण,p u n a r j aa g r a n
पुनर्जीवित,p u n a r j ii v i t
पुनर्निर्माण,p u n a r n i r m aa n
पुनर्विचार,p u n a r v i c aa r
पुनर्विवाह,p u n a r v i v aa h
पुनश्च,p u n a sh c
पुनीत,p u n ii t
पुरखा,p u r kh aa
पुरज़ा,p u r z aa
पुरवा,p u r v aa
पुरवाई,p u r v E
पुरस्कार,p u r a s k aa r
पुराना,p u r aa n aa
पुरी,p u r ii
पुरुष,p u r u sh
पुरुषार्थ,p u r u sh aa r th a
पुरुषार्थी,p u r u sh aa r th ii
पुरोहित,p u r o h i t
पुर्जा,p u r z aa
पुल,p u l
पुलकित,p u l k i t
पुलटिस,p u l tt i s
पुलाव,p u l aa v
पुलिंदा,p u l i n d aa
पुलिस,p u l i s
पुषअट,p u sh tt a
पुष्टि,p u sh tt i
पुष्टिकारक,p u sh tt i k aa r a k
पुष्प,p u sh p a
पुष्पांजलि,p u sh p aa n j a l i
पुष्पित,p u sh p i t
पुस्तक,p u s t a k
पुस्तकाध्यक्ष,p u s t a k aa dh y a k sh a
पुस्तकालय,p u s t a k aa l a y
पूछ,p uu ch
पूछताछ,p uu ch t aa ch
पूछना,p uu ch n aa
पूजन,p uu j a n
पूजना,p uu j n aa
पूजा,p uu j aa
पूज्य,p uu j y a
पूड़ी,p uu rr ii
पूत,p uu t
पूरक,p uu r a k
पूरब,p uu r a b
पूरवी,p uu r b ii
पूरा,p uu r aa
पूरी,p uu r ii
पूर्ण,p uu r n a
पूर्णता,p uu r n a t aa
पूर्णमासी,p uu r n a m aa s ii
पूर्णांक,p uu r n aa ~ k
पूर्ति,p uu r t i
पूर्व,p uu v a
पूर्व,p uu r v a
पूर्व-,p uu r v a 
-पूर्वक,p uu r v a k
पूर्वज,p uu r v a j
पूर्ववर्ती,p uu v a v a r t ii
पूर्वानुमान,p uu v aa n u m aa n
पूर्वी,p uu v ii
पूस,p uu s
पृथक्,p r i th a k
पृथक्ता,p r i th a k t aa
पृथ्वी,p r i th v ii
पृष्ठ,p r i sh tth a
पृष्ठ,p r i sh tth a
पृष्ठभूमि,p r i sh tth a bh uu m i
पेंशन,p e n sh a n
पेसिल,p e n s i l
पेच,p e c
पेचकस,p e c k a s
पेचिश,p e c i sh
पेचिदा,p e c ii d aa
पेट,p e tt
पेट-दर्द,p e tt d a r d
पेटी,p e tt ii
पेटी,p e tt ii
पेटू,p e tt uu
पेट्रोल,p e tt r o l
पेड़,p e rr
पेड़-पौधे,p e rr p O dh e
पेड़ा,p e rr aa
पेन्शन,p e n sh a n
पेन्सिल,p e n s i l
पेय,p e y
पेलना,p e l n aa
